"utterance","keywords","relevances"
" こちらフォトプリンターとなっております8使い方としましょうこちらの USB ポートに USB を差し込んでいただいてもよろしいでしょうか。 はいありがとうございます8で顔面であの写真を選んでいただきまして印刷ボタンを押していただいてもよろしいでしょうかはいこれまで少しお時間かかりますので店内ご覧になった町でありますか","フォトプリンター;USB ポート;USB;町;顔面;写真;店内ご覧;印刷ボタン;8;8","0.20305240154266357;0.1922142505645752;0.19069905579090118;0.09178834408521652;0.08912775665521622;0.08912775665521622;0.08072078227996826;0.06326965242624283;0.0;0.0"
" こちら写真になりますはいはい","写真","1.0"
" こっちのカメラズーム機能付いておりまして、光学ズームで最大5倍までズームすることができるようになっております。","カメラズーム機能;こっち;光学ズーム;5","0.34852495789527893;0.34716156125068665;0.30431345105171204;0.0"
" これが一眼レフとかいうやつですか。","一眼レフ;やつ","0.5450648665428162;0.4549351632595062"
" これはおいくらですか？","",""
" これはやっぱりなんかよく皆さんもいろんな種類多いんですかね。","種類","1.0"
" これはズームはどれくらい？","ズーム","1.0"
" これは色は何色があるんですか？","色;何色","0.5245165228843689;0.4754835069179535"
" ございました。","",""
" ございます。","",""
" じゃあこれいただきます。","",""
" じゃあこれではい。","",""
" じゃあ白でお願いします。","",""
" すいませんちょっと見させてもらうだけでいいですか","",""
" そうだねでもとにかく軽いけれども120 G になっておりますも手軽に始めたいっていう方に人気の商品になっております。","方;人気;商品;120","0.3581227660179138;0.32993677258491516;0.311940461397171;0.0"
" そうだね全部方がやりますんですがお勧めなんですよ","全部方","1.0"
" そうですね、一応写真家なんですね。","写真家","1.0"
" そうですね、人物思い撮ってるんですが。","人物","1.0"
" そうですね、何色があったりするんですか。","何色","1.0"
" そうですね、撮影モード自体はあのこちらの機能にもございまして9種類になりますけど、撮影モードがございます。そうですねあとはそうですね解像度が24.0メガピクセルございましてそちらのカメラが少し家の解像度が良いカメラとなってます","撮影モード;解像度;撮影モード;機能;カメラ;家;9;24.0","0.2319072037935257;0.21669583022594452;0.16235990822315216;0.15508109331130981;0.1536514312028885;0.08030452579259872;0.0;0.0"
" そうですね、普段使いであればこちらの方がおすすめかと思いますね。","方","1.0"
" そうですね。","",""
" そうですね。申し訳ございません、詳しいことは別の係からご案内させて頂きます少々お待ちくださいませ。","別;係;こと","0.33968210220336914;0.33968210220336914;0.3206357955932617"
" そうですねそうなんですか","",""
" そうですねそれは一眼レフより場所とまとめやすいということではい最近出ている商品になっております","一眼レフ;場所;商品;こと","0.29729539155960083;0.29729539155960083;0.20571324229240417;0.19969598948955536"
" そうですねはいそうですね子供とか取られるとかそういうのでは良いと思います","子供","1.0"
" そうなんありがとうございます。重さの方は向こうに比べてどれくらいの重さでしょう。","重さ;向こう;方","0.5468138456344604;0.2435057908296585;0.20968037843704224"
" そこまで重くはない漢字で。","漢字","1.0"
" それは55000円となっております。そうですねあの本格的にやった趣味としても伝え方はまあこちらも人気はあるんですけれどもこちらのコンパクトさと比べますとお値段はちょっと上がって参ります","値段;コンパクトさ;伝え方;趣味;人気;55000円;55000","0.22362829744815826;0.21536368131637573;0.2034202665090561;0.19016370177268982;0.1674240380525589;0.0;0.0"
" それはどれなりますか？","",""
" ただいました。","",""
" ちなみにこれ以外にお勧めあればお聞きしたいんですけど。","",""
" ちなみにすいませんねお値段の方は","方;値段","0.5081836581230164;0.49181637167930603"
" ちょちょっと考えてきますすみませんありがとうございます","",""
" ちょっとやり方が分からないんですけれども。","やり方","1.0"
" ちょっと嬉しいですね。 おまたの軽くて色は何色があるでしょうか。","色;何色","0.5389713644981384;0.4610286056995392"
" ちょっと見ときますすいません","",""
" できますか？店長すいません SONY のカメラの自動機能について説明お願いします。","店長;SONY;自動機能;カメラ","0.2820207178592682;0.24352140724658966;0.24329088628292084;0.23116697371006012"
" でとうございました。","",""
" ではできましたらあのお声かけさせて頂きますのでよろしくお願いいたします。","声","1.0"
" ではできましたらあのお声かけさせて頂きますのでよろしくお願いいたします。写真の現像は終わりましたのでお渡しさせていますこちら写真になりますこちら USB となりますありがとうございました。","声;写真;現像;USB","0.33949729800224304;0.3341366946697235;0.16548927128314972;0.16087673604488373"
" ではシルバーお願いします。","シルバー","1.0"
" どうやったら自動機能がありますか？","自動機能","1.0"
" なるほど、軽く T シャツモードが豊富なのかと思ったら暑いです。","T シャツモード","1.0"
" なるほど。","",""
" なるほど。もう1回一眼レフの方を見ていいですか？","一眼レフ;方;1","0.5676081776618958;0.43239179253578186;0.0"
" なるほど。もう1回一眼レフの方を見ていいですか？アルファードこれって色何色がありますか？","一眼レフ;方;色何色;アルファード;1","0.3403451442718506;0.25970274209976196;0.23892225325107574;0.1610298603773117;0.0"
" はい、係4で参りますので少々お待ちくださいませ。店長すいませんフォトプリントの使用方法をお願いできますか","使用方法;フォトプリント;店長;4","0.34580785036087036;0.33501163125038147;0.31918051838874817;0.0"
" はい、問題ございませんでしたらこちらと USB を取りください。","問題;USB","0.5185409188270569;0.4814590513706207"
" はい、聞きました。","",""
" はい。","",""
" はい。 はいありがとうございました","",""
" はい。そうそうあのおまじない","",""
" はいあちらに機会ございますのでどうぞこちらを使われたことございますかはいでは説明できるものに帰りますので、少々お待ちくださいません。店長こちらのプリンターのご説明お願いします。","もの;プリンター;店長","0.4349205195903778;0.2874785363674164;0.2776009738445282"
" はいあちらに機会ございますのでどうぞこちらを使われたことございますかはいでは説明できるものに帰りますので、少々お待ちくださいません。店長こちらのプリンターのご説明お願いします。時間かかるようですのでお待ちくださいね。普段どんなカメラを使い何ですか？","もの;カメラ;店長;プリンター","0.41602063179016113;0.20659828186035156;0.18869054317474365;0.18869054317474365"
" はいありがとうございました","",""
" はいありがとうございます","",""
" はいありがとうございます少々お待ちくださいませ こちらが商品になります。","商品","1.0"
" はいお客様すいませんこちらといい子になりますないでございました","客;子","0.6398777365684509;0.3601222336292267"
" はいお願いします","",""
" はいお願いしますはい","",""
" はいお願いしますはいはい。はい。はい。はい。はい。ありがとうございましたございました。","",""
" はいかしこまりました掛4で参りますので少々お待ちくださいませんちょうすいませんフォトプリントの使用方法をお願いします","掛;使用方法;フォトプリント;4","0.37808293104171753;0.31470200419425964;0.3072150647640228;0.0"
" はいからいませんお願いします そちらになりますこちらがデジタルコンパクトカメラニコンのクールピクス S 2800という商品になっております。","はい;商品;デジタルコンパクトカメラニコンのクールピクス S 2800;2800","0.38664332032203674;0.3108641505241394;0.30249252915382385;0.0"
" はいございますご案内いたしますこちらが Nikon のデジタルカメラになったりますよよかったら手にとってご覧くださいとても軽いと思うんですけどもわずか120 G の重さになっております","Nikon;手;重さ;デジタルカメラ;120","0.31112122535705566;0.24274973571300507;0.2374798208475113;0.20864920318126678;0.0"
" はいごゆっくりご覧ください","",""
" はいごゆっくりご覧くださいはいこちら55000円なっておりますはいあの黒の他に白とシルバーがございませんちなみに重さが470 G ございます。何か昨日とかについて。 よろしいですか。はいはい春日部シルバーで在庫確認してまいります少々お待ちくださいませんちょうすいませんソニーの 行って参ります。 お待たせしましたはいこちらはシルバーで泳いできました 頂いました。召しません、何かお探しですか？","シルバー;何か;黒;他;白;重さ;春日部シルバー;在庫;ソニー;55000円;55000;470","0.25311657786369324;0.18837569653987885;0.11927132308483124;0.11927132308483124;0.11927132308483124;0.09115705639123917;0.05551498383283615;0.028444617986679077;0.025577085092663765;0.0;0.0;0.0"
" はいご案内いたしますこちらになります こちらになりますキャノンの EOS 5 d mark iii になっております。","EOS 5 d mark iii;キャノン;5","0.5102922916412354;0.48970770835876465;0.0"
" はいご案内いたしますこちらになります こちらになりますキャノンの EOS 5 d mark iii になっております。お餅の重さは950 G になっております。","EOS 5 d mark iii;キャノン;重さ;餅;5;950","0.30745819211006165;0.2910204529762268;0.20884859561920166;0.1926727443933487;0.0;0.0"
" はいじゃあこれで頂いて帰りますありがとうございます","",""
" はいそうなんです","",""
" はいその方はズームが5倍で背徳のものをアップで撮ったりとかできるものになっておりますので、","方;もの;ズーム;もの;アップ;背徳;5","0.2061903327703476;0.1782512217760086;0.17112088203430176;0.1699477583169937;0.13831529021263123;0.1361745148897171;0.0"
" はいでは在庫の方確認してまいります少々お待ちくださいお待たせいたしましたキャノンの一眼レフとなります","在庫;方;キャノン;一眼レフ","0.2910889983177185;0.25957101583480835;0.23152853548526764;0.2178114354610443"
" はいどうぞ","",""
" はいどうぞ気になるあの気になるものありましたらまた何かお声かけくださいどういったカメラ探されてるんですか。","はいどうぞ気;気;カメラ;もの;何か;声","0.23920349776744843;0.1973613202571869;0.1596285104751587;0.15613657236099243;0.14812785387039185;0.09954225271940231"
" はいはい、言ってください。こちらの方、紫なります。","方","1.0"
" はいはい、遊ぶあーなるほどカメラは遊ぶ時でしたらではこちらにどうぞ。","カメラ","1.0"
" はいはい。 これからだいたいどれぐらいですか？","",""
" はいはい。 はい。","",""
" はいはいこちらまでどうぞはいじゃあご説明別のものにさせて帰りますので少々お待ちくださいません店長ジュラのプリンターの使い方のご説明お願いします","プリンター;店長ジュラ;使い方;もの","0.2999289333820343;0.25141963362693787;0.2372494786977768;0.21140193939208984"
" はいはいございませんご案内いたしますこちらになりますこちらがソニーのアルファ6000という商品です","アルファ6000;ソニー;商品;6000","0.3514968156814575;0.3423275947570801;0.3061755895614624;0.0"
" はいはいご案内いたしますこちらになります情報は分かりでしょうかそしてこちらに USB を差し込んでいただきますか","USB;情報","0.6054244637489319;0.3945755362510681"
" はいはいではあのベトナムなら説明に参りますので少々お待ちくださいません店長こちらのプリンターの使い方のご説明お願いします","説明;プリンター;使い方;店長","0.3068101704120636;0.3000069856643677;0.22655338048934937;0.16662949323654175"
" はいはいよく取られるんでしたらこちらの方こそミラーレスの一眼カメラになったりませんはいソニーのアルファ6000という商品です","ソニー;アルファ6000;商品;方;ミラーレス;一眼カメラ;6000","0.18845540285110474;0.18845540285110474;0.16193147003650665;0.16066527366638184;0.15814907848834991;0.14234338700771332;0.0"
" はいはい大丈夫ですはいすいませんフィルム現像お願いします","フィルム現像","1.0"
" はいわかりました","",""
" はいわかりました 渡しましたこちらが商品になっております。","商品","1.0"
" はいソニーのミラーレスの解像度につきましては24.0メガピクセルとなっており","ソニー;ミラーレス;解像度;ピクセル;24.0","0.3002258539199829;0.2501136064529419;0.24557270109653473;0.20408782362937927;0.0"
" はいフィルムの現像でございますではこちらにどうぞ店長フィルムの現像お願い致します","現像;フィルム;店長フィルム","0.3986499011516571;0.3319930136203766;0.2693570554256439"
" はいミラーレスと一眼カメラですのでございますけれども","ミラーレス;一眼カメラ","0.5530768632888794;0.4469231367111206"
" はいミラーレス一眼カメラありますがそちらご案内しましょうかはいはいこちらになりますよソニーのアルファ A 6000という商品だったります","ミラーレス一眼カメラ;アルファ A 6000;ソニー;商品;6000","0.27545079588890076;0.2507810890674591;0.24423916637897491;0.2295289784669876;0.0"
" はい分かりましたではあの詳しい者と変わりさせて頂きます少々お待ちください10ちゃんすいませんフォトプリンターの使い方がわからないというお客様がおられますのでお願いします","者;客;フォトプリンター;使い方;10","0.3077017366886139;0.2817772924900055;0.2052604854106903;0.2052604854106903;0.0"
" はい分かりましたではこちらにどうぞゴジラニコンのクールピクスというコンパクトデジタルカメラになってますこちらのカメラそうです人物とるすごく取りやすいカメラであってその他にも回し初心者の方にもすごい取りやすいカメラなので後はそうですねあの大変軽くて持ちやすいので持ち運びに便利と言ったそういった特徴があるカメラ","カメラ;コンパクトデジタルカメラ;ゴジラニコン;ピクス;特徴;持ち運び;他;人物;初心者;方","0.28509536385536194;0.14651530981063843;0.10207768529653549;0.08622570335865021;0.08109019696712494;0.07617417722940445;0.06953379511833191;0.05277973785996437;0.05025401711463928;0.05025401711463928"
" はい承っておりますさとし関東のほうでしておりますのでご案内いたしますこちらになります体調フィルムの現像お願いします","関東;現像;体調フィルム","0.3739173114299774;0.3171596825122833;0.30892300605773926"
" はい風景が取りやすいカメラですかそうですねあの軽いカメラとか本格的な食べるとか色々ありますけどはいわかりましたではこちらにどうぞこちらニコンのクールピクス S 2800コンパクトデジタルカメラとなっております大変あの軽いカメラで価格も安くて使いやすいカメラ","カメラ;クールピクス S 2800コンパクトデジタルカメラ;風景;価格;ニコン;2800","0.3923434913158417;0.2205229103565216;0.1667775809764862;0.12146412581205368;0.09889188408851624;0.0"
" はーい。","",""
" ませんありがとうございました","",""
" またしましたお買い上げありがとうございます。水戸ございました。","",""
" めっちゃ後できますよろしくお願いいたします","",""
" もうちょっと寝させてもらいます。","",""
" やっぱりしますよね。","",""
" ゆっくりご覧下さい。","",""
" わからないですはい","",""
" わかりました。値段とかはどれぐらいですか？フェイス2機能としては全部自動でやってくれたりしますか？","値段;自動;フェイス;2","0.4446633458137512;0.2851375639438629;0.27019909024238586;0.0"
" わかりました。重さと乾く7時頃帰りました。色とかは何種類かあったりしますか売れてる色とかあったりしますか人気の色とか。","色;種類;人気;7","0.6490530967712402;0.17885929346084595;0.17208760976791382;0.0"
" わかりましたもう少し良いカメラになるとどれになりますかお願いします","カメラ","1.0"
" カジュアルなカメラですね。","カメラ","1.0"
" カメラ初心者でも簡単に扱えたりしますか？","カメラ初心者","1.0"
" ソニーのミラーレスは470 G はい。","ソニー;ミラーレス;470","0.5352038145065308;0.4647962152957916;0.0"
" ソニーの方はどれくらい持ってみても大丈夫ですか？ 結構ずっしりくる重さはだいたいどれくらいですか？","ソニー;方;重さ","0.410565584897995;0.3863556981086731;0.2030787318944931"
" ハイ解像度が22.3メガピクセルなってます。","ハイ解像度;22.3","1.0;0.0"
" フォトプリントの使用方法についてお尋ねです。","フォトプリント;使用方法","0.5658550262451172;0.4341449737548828"
" ブラックで販売しますお待ちください会場が暗くなります。","ブラック;会場","0.5895812511444092;0.41041871905326843"
" 今朝もまたしました来るピクスの位なりますでございました。","ピクス","1.0"
" 他ありますか。","他","1.0"
" 他の種類と比べて結構高かったり低かったりっていうのはどのくらいかは","他;種類","0.5;0.5"
" 何かお探しですか？","何か","1.0"
" 何か質問ありましたらお声かけください。","",""
" 何か質問ありましたらお声かけください。ご興味をお持ちですか。","興味","1.0"
" 何色がありますか？","",""
" 入ってた待っておりますフォトプリンターにご案内いたしますこちらの機械そう方法は分かりですか？","フォトプリンター;機械そう方法","0.587159276008606;0.41284075379371643"
" 全長フィルムの現像のお客様です。","全長フィルム;現像;客","0.42202651500701904;0.3159677982330322;0.26200568675994873"
" 分からないです。","",""
" 分かりました。解像度とか","解像度","1.0"
" 分かりましたでは確認のものも読んで参りますので、少々お待ちいただけますか。すいません4とプリンターの使い方がわからないといいねを説明してもいただいてよろしいでしょうか。","確認;もの;プリンター;使い方;4","0.38617682456970215;0.34436312317848206;0.1347300112247467;0.1347300112247467;0.0"
" 初心者でよくわかんないですけども、改造をどう使うというのははい。","初心者;改造","0.5107578635215759;0.4892421066761017"
" 在庫のほうございましたのでお渡しいたします Canon","在庫;Canon","0.5319217443466187;0.46807825565338135"
" 大倶利伽羅になってください。","大倶利伽羅","1.0"
" 大倶利伽羅になってください。カメラにご興味がおありですか？","大倶利伽羅;興味;カメラ","0.4770740270614624;0.2677902579307556;0.255135715007782"
" 天井スイマセン解像度の説明お願いします。","天井スイマセン解像度","1.0"
" 帰りました。 機能としてはどんな機能がありますか？","機能;機能","0.5295210480690002;0.47047892212867737"
" 帰りました。人をとるんやったらこっちの方がいいですかね。","人;こっち;方","0.38835734128952026;0.3501310646533966;0.26151159405708313"
" 帰りましたお声かけください","",""
" 店長すいません2個のあの空になってるお客様がズームについてお尋ねなんですが、","店長;ズーム;空;客;2","0.3276122510433197;0.2605786621570587;0.21692964434623718;0.194879412651062;0.0"
" 店長すいません8回相談についてお客様が知りたいと願いします。","店長;客;相談;8","0.3949979245662689;0.30927038192749023;0.29573169350624084;0.0"
" 店長すみません8ニコンのカメラでイルミネーションとかで綺麗に撮れるかという質問があるんですか？","店長;質問;カメラ;イルミネーション;8","0.30115461349487305;0.2620486319065094;0.22534319758415222;0.21145354211330414;0.0"
" 店長に金のあの詳細ルームとか帰路についてお尋ねなんですが、","店長;金;詳細ルーム;帰路","0.3076503872871399;0.2743391990661621;0.23500528931617737;0.18300513923168182"
" 店長はスイマセン解像度と自動機能について教えて頂きたいお客様おられますお願いします。","店長;解像度;自動機能;客","0.30098026990890503;0.30098026990890503;0.21900205314159393;0.1790374219417572"
" 店長ニコンの自動機能についてお尋ねなんですが開始します。","ニコン;店長;自動機能","0.3779894709587097;0.3557004928588867;0.26631003618240356"
" 待たせしましたソニー見られ市の城で御用で行きましたので","ソニー見られ市;城;御用","0.4164668321609497;0.32976576685905457;0.2537674009799957"
" 手伝いました。","",""
" 明日ですねちょっと悩んでますはい帰りました","",""
" 明日店長すいませんあのプリントは使いたい方で使い方がわからないで説明していただけないでしょう","プリント;店長;使い方;方","0.2863655984401703;0.2539118528366089;0.23466846346855164;0.2250540852546692"
" 映像はすごく綺麗ですね。","映像","1.0"
" 有田大ました。","有田大","1.0"
" 構安い方でカラーバリエーションとかも多かったりするんですか？","方;カラーバリエーション","0.5309381484985352;0.46906185150146484"
" 機能としてはどんな機能がありますか？","機能;機能","0.5310266613960266;0.468973308801651"
" 沛公は5倍まで可能です。","沛公;5","1.0;0.0"
" 熱出ました。","",""
" 特に800円はすごいあちょっとあのルームとかもしかしてたくさん使うかもしれないんでその辺どうなんですかね","辺;ルーム;800円;800","0.5344561338424683;0.46554386615753174;0.0;0.0"
" 現像できるまで少し時間かかるので、店内ご覧になってお待ちいただけますかはいよろしくお願いします。","店内ご覧","1.0"
" 白色が好きなので値段はいくらでしょうか。","白色;値段","0.5530768632888794;0.4469231367111206"
" 確かにお手軽ですよね。","",""
" 紫って絶対見れますかあちゃん、浦崎きれいなんでいただきます。","浦崎","1.0"
" 自動機能とかも育っておりまして、初任者の方には使いやすいといった。","方;自動機能;初任者","0.34353306889533997;0.3333202600479126;0.32314664125442505"
" 興味半分何ですかお値段ってどのくらい","興味半分何;値段","0.5821747779846191;0.41782519221305847"
" 船長メスの解像度についてお尋ねです。","船長メス;解像度","0.5628650784492493;0.43713492155075073"
" 色とかは、","色","1.0"
" 色は一色だけです。","色;一色","0.5628650784492493;0.43713492155075073"
" 行けそうですがよろしかったですかはいはいこっちで大丈夫ですねはいはいでこちらは画面変わりましたらお写真選んでいただきましてここの横押したらそこ写真選べますのでその帯で選んでいたのがこちらの仁寺洞て欲しいいただいてもよろしいでしょうか","写真;仁寺;帯","0.4802522659301758;0.2638714909553528;0.25587624311447144"
" 西洋撮影について詳しく聞きたいんではい。","西洋撮影;んで","0.5889880061149597;0.4110119938850403"
" 解像度とかはどんな感じなんですかね。","解像度;感じ","0.5530768632888794;0.4469231367111206"
" 解像度はどのくらいになったりしますか？","解像度","1.0"
" 赤ではいありがとうございます","赤","1.0"
" 軽いですけど大丈夫ですか？","",""
" 軽いですね、色の展開って何がありますかね。","色;展開","0.6030093431472778;0.3969906270503998"
" 重さがちょっと重くなって、","重さ","1.0"
" 重さは重さはどんぐらいなんですか？","重さ;どん","0.653690755367279;0.34630927443504333"
"01キロぐらいあるので、正確には900 G でしたが、","01;900","0.0;0.0"
"08種類もあるんですね。","08","0.0"
"1 kg 近い感じて。","1","0.0"
"1 km ですよねだからあとお客様の地震でもあのレンズを取り替え取り付けて頂きましたらもう少し重くなりますのでまあのとるぞっていう意気込んだから家でちょっと気軽に持ち運びはできないかと思うんですけれどもいい写真を撮りたいってことでしたらこちらの方が宜しいかと思います","客;レンズ;地震;写真;こと;方;意気込ん;家;持ち運び;1","0.14822696149349213;0.13230687379837036;0.12720505893230438;0.11352445930242538;0.11352445930242538;0.10703743249177933;0.10433221608400345;0.0769212618470192;0.0769212618470192;0.0"
"10.1メガピクセルというのはその綺麗に写真が撮れる解像度というのがどのどのぐらいなのか新車なので","ピクセル;解像度;写真;10.1","0.3949979245662689;0.30927038192749023;0.29573169350624084;0.0"
"1000お願いします。","1000","0.0"
"1000かかりました。 らっしゃいませはいこちらのピクチャーエフェクトですねはいこちらはあの13種類3種類があるんですけれども例えば水彩画のように写真を撮ったりあとはポスターのように大きく引き伸ばしすることができたりというようなことがございますはい","ピクチャーエフェクト;ポスター;こと;水彩画;写真;1000;13;3","0.25322023034095764;0.20755654573440552;0.2018430233001709;0.19625161588191986;0.14112858474254608;0.0;0.0;0.0"
"1000円と USB ドライブ持ってるんですけどこれはプリントアウトできますか","USB ドライブ;プリント;1000円;1000","0.5260298252105713;0.4739702045917511;0.0;0.0"
"1005000円となっております。","1005000円;1005000","0.0;0.0"
"100円安いですね。","100円;100","0.0;0.0"
"100新車でと安価自動機能ってあれば取れるんかと思って。","自動機能;100","1.0;0.0"
"10かかりました。出せません自動機能なんですけども2点ございまして一つが撮影モードってものがございませんこちらの撮影シーンに合わせて設定して炊きましたらより綺麗な写真が撮ることができませんというのがありましてこちらはあの写真自体をぼやかして見せたり水彩画のように見せた立派さんのように大きく引き伸ばしたりすることができる機能がございません","写真;自動機能;機能;撮影モード;立派;水彩画;もの;撮影シーン;10;2;一","0.21225151419639587;0.17678667604923248;0.1226673349738121;0.11266560107469559;0.11171550303697586;0.09842073917388916;0.08316189050674438;0.08233073353767395;0.0;0.0;0.0"
"10ちゃんお願いします。こちらの機能についてお尋ねなんですが、","機能;10","1.0;0.0"
"10ちゃんお願いしますこちらの商品で解像度お尋ねなんですが","解像度お尋ね;商品;10","0.5152895450592041;0.4847104847431183;0.0"
"10ちゃん一眼レフをお求めの客様いらっしゃってます。","一眼レフ;客;10","0.5404881238937378;0.4595118761062622;0.0"
"10についた分かりかねは","10","0.0"
"10万円で今持ってるやつよりも少し高いんですけれどでもマニ10万はそうですね","やつ;10万円;10万;10万","1.0;0.0;0.0;0.0"
"10万円なるほど。 そうですね。じゃあさっきの SONY のカメラをいただきます","SONY;カメラ;10万円;10万","0.5868826508522034;0.41311731934547424;0.0;0.0"
"10万円なるほど。このカメラってなんか色をこの白の他にありますか？","他;なんか色;カメラ;白;10万円;10万","0.2864495515823364;0.26318973302841187;0.2564622163772583;0.19389848411083221;0.0;0.0"
"10万円なるほど。さっきのカメラもう1回見てもいいですか？","カメラ;10万円;10万;1","1.0;0.0;0.0;0.0"
"10万円払うことこの完売だって重さはどのくらいしますか？","重さ;完売;10万円;10万","0.509920597076416;0.4900793731212616;0.0;0.0"
"10点で","10","0.0"
"120 G","120 G;120","1.0;0.0"
"120 G しかありませんので、","120 G;120","1.0;0.0"
"120 G しかないので。ポケットに出ていただけるような。","120 G;ポケット;120","0.6731927990913391;0.3268072009086609;0.0"
"120 G すごい120 G すごいですねあの絵でも機能がそれそんなに","機能;絵;120;120","0.5598452687263489;0.4401547312736511;0.0;0.0"
"120 G すごいですねあのちょっとあのカメラ買うのが久しぶりなんであのちょっと色のバリエーションとか聞きたいんですけど","色;バリエーション;カメラ;120","0.34230175614356995;0.34230175614356995;0.3153964579105377;0.0"
"120 G すごい軽いですね。","120","0.0"
"120 G でお手にも取りやすい重さですので、","120 G;重さ;手;120","0.4064899981021881;0.30413174629211426;0.28937828540802;0.0"
"120 G でかなり軽いものとなっております。","もの;120","1.0;0.0"
